Species;Higuchi;Iffsc;Leveg
Marlierea;;0.626120426;
Marlierea eugeniopsoides;;0.641816486;
Marlierea excoriata;;0.599612843;
Marlierea racemosa;;0.641816486;
Marlierea reitzii;;0.641816486;
Marlierea silvatica;;0.605539831;
Matayba;0.536098275;0.619211056;0.825
Matayba elaeagnoides;0.536098275;0.52802552;0.81
Matayba intermedia;;0.710396593;0.84
Matayba obovata;;0.619211056;
Maytenus;0.603745287;0.575927514;
Maytenus aquifolia;;0.575927514;
Maytenus boaria;0.603745287;0.575927514;
Maytenus dasyclada;;0.575927514;
Maytenus evonymoides;;0.575927514;
Maytenus gonoclada;;0.575927514;
Maytenus ilicifolia;;0.575927514;
Melia;;0.437712533;
Melia azedarach;;0.437712533;
Meliosma;;0.475258073;0.62
Meliosma sellowii;;0.475258073;0.62
Miconia;;0.604318113;0.49817575
Miconia budlejoides;;0.604318113;
Miconia cabucu;;0.643156736;
Miconia chartacea;;0.604318113;
Miconia cinerascens;;0.604318113;0.49817575
Miconia cinnamomifolia;;0.615989723;
Miconia cubatanensis;;0.604318113;
Miconia fasciculata;;0.604318113;
Miconia hyemalis;;0.6292417;
Miconia inconspicua;;0.604318113;
Miconia latecrenata;;0.604318113;
Miconia ligustroides;;0.604318113;
Miconia lymanii;;0.604318113;
Miconia petropolitana;;0.604318113;
Miconia pusilliflora;;0.604318113;
Miconia regelii;;0.604318113;
Miconia sellowiana;;0.604318113;
Miconia theaezans;;0.604318113;
Miconia tristis;;0.604318113;
Miconia valtheri;;0.528884294;
Mimosa;0.6650303;0.607433679;0.56
Mimosa bimucronata;;0.607433679;
Mimosa scabrella;0.6650303;0.607433679;0.56
Mollinedia;;0.588501275;0.6
Mollinedia argyrogyna;;0.588501275;
Mollinedia blumenaviana;;0.588501275;
Mollinedia calodonta;;0.588501275;
Mollinedia clavigera;;0.588501275;
Mollinedia elegans;;0.588501275;
Mollinedia schottiana;;0.588501275;0.6
Mollinedia triflora;;0.588501275;
Mollinedia uleana;;0.588501275;
Monteverdia;;0.575927514;
Monteverdia dasyclada;;0.575927514;
Monteverdia patens;;0.575927514;
Moquiniastrum;;0.445812837;
Moquiniastrum polymorphum;;0.445812837;
Morus;;0.5166;
Morus nigra;;0.5166;
Mouriri;;0.604318113;
Mouriri chamissoana;;0.604318113;
Muellera;0.697492915;0.641332585;0.89
Muellera campestris;0.697492915;0.641332585;0.89
Muellera grazielae;;0.641332585;
Myrceugenia;0.598707628;0.468237324;0.695
Myrceugenia alpigena;;0.468237324;
Myrceugenia bracteosa;;0.468237324;
Myrceugenia campestris;;0.468237324;
Myrceugenia cucullata;;0.468237324;
Myrceugenia euosma;0.554904315;0.431370696;0.74
Myrceugenia glaucescens;0.603799828;0.468237324;
Myrceugenia hoehnei;;0.468237324;
Myrceugenia kleinii;;0.468237324;
Myrceugenia mesomischa;0.682437981;0.468237324;
Myrceugenia miersiana;0.56448304;0.468237324;0.65
Myrceugenia myrcioides;0.513935067;0.505103952;
Myrceugenia ovalifolia;;0.468237324;
Myrceugenia ovata ;0.56955649;0.56955649;
Myrceugenia oxysepala;0.627603894;0.468237324;
Myrceugenia pilotantha;;0.468237324;
Myrceugenia regnelliana;0.669381139;0.468237324;
Myrceugenia seriatoramosa;;0.468237324;
Myrceugenia venosa;;0.468237324;
Myrcia;0.626350168;0.599612843;0.855
Myrcia aethusa;;0.599612843;
Myrcia amazonica;;0.599612843;
Myrcia anacardiifolia;;0.599612843;
Myrcia brasiliensis;;0.599612843;
Myrcia catharinensis;;0.599612843;
Myrcia diaphana;;0.599612843;
Myrcia dichrophylla;;0.599612843;
Myrcia ferruginosa;;0.599612843;
Myrcia flagellaris;;0.599612843;
Myrcia glabra;;0.599612843;
Myrcia guianensis;0.683467313;0.709876827;0.9
Myrcia hartwegiana;;0.599612843;
Myrcia hatschbachii;0.721836263;0.599612843;
Myrcia heringii;;0.599612843;
Myrcia lajeana;;0.599612843;
Myrcia laruotteana;;0.599612843;
Myrcia multiflora;;0.599612843;
Myrcia neoriedeliana;;0.599612843;
Myrcia oblongata;0.738606016;0.599612843;
Myrcia oligantha;;0.599612843;
Myrcia palustris;0.490878432;0.524773025;
Myrcia palustris ;0.50873812;0.50873812;
Myrcia pubiflora;;0.599612843;
Myrcia pubipetala;;0.608265799;0.81
Myrcia pulchra;;0.599612843;
Myrcia racemosa;;0.599612843;
Myrcia retorta;;0.599612843;
Myrcia rupicola;;0.599612843;
Myrcia selloi;;0.599612843;
Myrcia spectabilis;;0.556543836;
Myrcia splendens;0.614574864;0.598604729;
Myrcia strigipes;;0.599612843;
Myrcia tenuivenosa;;0.599612843;
Myrcia tijucensis;;0.599612843;
Myrcia undulata;;0.599612843;
Myrcia venulosa;;0.599612843;
Myrcianthes;0.700224203;0.652080529;
Myrcianthes gigantea;0.730760687;0.652080529;
Myrcianthes pungens;0.669687718;0.652080529;
Myrciaria;;0.629388596;0.8175
Myrciaria delicatula;;0.629388596;0.85
Myrciaria floribunda;;0.629388596;0.785
Myrciaria plinioides;;0.629388596;
Myrciaria tenella;;0.629388596;
Myrocarpus;0.699255536;0.652956514;0.8
Myrocarpus frondosus;0.699255536;0.652956514;0.8
Myrrhinium;0.669948695;0.629388596;1
Myrrhinium atropurpureum;;0.629388596;1
Myrrhinium atropurpureum ;0.669948695;0.669948695;
Myrsine;0.633446911;0.55778684;0.616
Myrsine balansae;;0.55778684;
Myrsine coriacea;0.577845118;0.513594006;0.594
Myrsine gardneriana;;0.55778684;
Myrsine guianensis;;0.55778684;0.6
Myrsine hermogenesii;;0.55778684;
Myrsine laetevirens;;0.55778684;
Myrsine lancifolia;;0.55778684;
Myrsine lineata;;0.55778684;
Myrsine loefgrenii;;0.55778684;
Myrsine lorentziana;0.6675;0.6675;0.41
Myrsine parvifolia;;0.55778684;
Myrsine parvula;;0.55778684;
Myrsine umbellata;0.654995615;0.601979674;0.86
Myrsine venosa;;0.55778684;
Nectandra;0.444231372;0.42966685;0.6875
Nectandra angustifolia;;0.42966685;
Nectandra grandiflora;;0.402449669;0.61
Nectandra lanceolata;0.438146508;0.328375548;0.7
Nectandra leucantha;;0.42966685;
Nectandra megapotamica;0.450316236;0.429334338;0.75
Nectandra membranacea;;0.422838402;
Nectandra oppositifolia;;0.565336291;0.69
Nectandra puberula;;0.42966685;
Neea;;0.343043239;
Neea pendulina;;0.343043239;
Neomitranthes;;0.629388596;
Neomitranthes gemballae;;0.629388596;
Neomitranthes glomerata;;0.629388596;
Ocotea;0.46432457;0.494938074;0.593833333
Ocotea aciphylla;;0.494938074;
Ocotea bicolor;;0.494938074;
Ocotea brachybotrya;;0.494938074;
Ocotea catharinensis;;0.494938074;
Ocotea corymbosa;;0.494938074;
Ocotea daphnifolia;;0.494938074;
Ocotea diospyrifolia;;0.358973982;0.53
Ocotea dispersa;;0.494938074;
Ocotea elegans;;0.494938074;0.62
Ocotea glaziovii;;0.494938074;
Ocotea indecora;;0.494938074;
Ocotea lanata;;0.494938074;
Ocotea lancifolia;;0.494938074;
Ocotea laxa;;0.494938074;
Ocotea lobbii;;0.494938074;
Ocotea mandioccana;;0.539984421;
Ocotea marumbiensis;;0.494938074;
Ocotea nectandrifolia;;0.494938074;
Ocotea nunesiana;;0.494938074;
Ocotea nutans;;0.494938074;
Ocotea odorifera;;0.604035219;0.76
Ocotea paranaensis;;0.494938074;
Ocotea porosa;;0.567039402;0.57
Ocotea puberula;0.425497588;0.362738985;0.433
Ocotea pulchella;0.503151552;0.536856434;0.65
Ocotea pulchra;;0.494938074;
Ocotea silvestris;;0.494938074;
Ocotea teleiandra;;0.494938074;
Ocotea vaccinioides;;0.494938074;
Ocotea villosa;;0.494938074;
Oreopanax;0.449917355;0.52;
Oreopanax fulvum;0.449917355;0.449917355;
Oreopanax fulvus;;0.52;
Ormosia;;0.575372341;
Ormosia arborea;;0.575372341;
Ouratea;;0.726990909;
Ouratea parviflora;;0.726990909;
Ouratea salicifolia;;0.726990909;
Ouratea vaccinioides;;0.726990909;
Pachystroma;;0.434934442;0.8
Pachystroma longifolium;;0.434934442;0.8
Parapiptadenia;0.683035577;0.719506698;0.85
Parapiptadenia rigida;0.683035577;0.719506698;0.85
Parinari;;0.701922079;
Parinari excelsa;;0.701922079;
Paulownia;;0.28;
Paulownia tomentosa;;0.28;
Pausandra;;0.434934442;
Pausandra morisiana;;0.434934442;
Peltophorum;;0.55516483;
Peltophorum dubium;;0.55516483;
Pera;;0.708502124;
Pera glabrata;;0.708502124;
Persea;;0.481831941;
Persea alba;;0.465109135;
Persea americana;;0.548723167;
Persea major;;0.465109135;
Persea venosa;;0.465109135;
Persea willdenovii;;0.465109135;
Phytolacca;;0.258;
Phytolacca dioica;;0.258;
Picramnia;;0.536153726;
Picramnia excelsa;;0.536153726;
Picramnia parvifolia;;0.536153726;
Picramnia sellowii;;0.536153726;
Picrasma;;0.428146208;0.4
Picrasma crenata;;0.428146208;0.4
Pilocarpus;0.824170766;0.734983627;1.05
Pilocarpus pennatifolius;0.824170766;0.734983627;1.05
Pimenta;;0.629388596;
Pimenta pseudocaryophyllus;;0.629388596;
Pinus;0.39382141;0.505;
Pinus elliottii;0.410250724;0.54;
Pinus taeda;0.377392096;0.47;
Piper;;0.3935;
Piper aduncum;;0.3935;
Piper cernuum;;0.3935;
Piper gaudichaudianum;;0.3935;
Piper malacophyllum;;0.3935;
Piper solmsianum;;0.3935;
Piptadenia;;0.614792669;
Piptadenia gonoacantha;;0.614792669;
Piptadenia paniculata;;0.614792669;
Piptocarpha;0.330681527;0.393736813;0.475
Piptocarpha angustifolia;0.330681527;0.424613165;0.5
Piptocarpha axillaris;;0.362860462;0.45
Piptocarpha organensis;;0.393736813;
Piptocarpha regnellii;;0.393736813;
Pisonia;;0.343043239;0.351
Pisonia ambigua;;0.343043239;
Pisonia zapallo;;0.351;0.351
Platanus;;0.55351125;
Platanus acerifolia;;0.55351125;
Platymiscium;;0.632946753;
Platymiscium floribundum;;0.632946753;
Pleroma;;0.604318113;
Pleroma granulosa;;0.604318113;
Pleroma mutabilis;;0.604318113;
Pleroma trichopoda;;0.604318113;
Plinia;;0.629388596;
Plinia cordifolia;;0.629388596;
Plinia edulis;;0.629388596;
Plinia peruviana;;0.629388596;
Plinia pseudodichasiantha;;0.629388596;
Plinia rivularis;;0.629388596;
Podocarpus;0.467238422;0.461578003;0.45
Podocarpus lambertii;0.467238422;0.461578003;0.45
Podocarpus sellowii;;0.461578003;
Pombalia;;0.67;
Pombalia bigibbosa;;0.67;
Porcelia;;0.440995122;
Porcelia macrocarpa;;0.440995122;
Posoqueria;;0.47153937;0.57
Posoqueria latifolia;;0.47153937;0.57
Pourouma;;0.414334261;
Pourouma guianensis;;0.414334261;
Pouteria;;0.588530728;
Pouteria caimito;;0.588530728;
Pouteria gardneriana;;0.588530728;
Pouteria salicifolia;;0.588530728;
Pouteria venosa;;0.588530728;
Prockia;;0.654579803;
Prockia crucis;;0.654579803;
Protium;;0.647814998;
Protium kleinii;;0.647814998;
Prunus;0.656658816;0.606678458;0.741
Prunus brasiliensis;;0.619120806;
Prunus myrtifolia;0.656658816;0.619120806;0.741
Prunus persica;;0.581793763;
Pseudobombax;;0.32233483;0.39
Pseudobombax grandiflorum;;0.32233483;0.39
Psidium;;0.678309665;
Psidium cattleianum;;0.68715272;
Psidium guajava;;0.6517805;
Psidium longipetiolatum;;0.68715272;
Psidium myrtoides;;0.68715272;
Psychotria;;0.423749576;
Psychotria brachyceras;;0.423749576;
Psychotria carthagenensis;;0.480068268;
Psychotria nuda;;0.405694684;
Psychotria officinalis;;0.423749576;
Psychotria stachyoides;;0.423749576;
Psychotria stenocalyx;;0.423749576;
Psychotria suterella;;0.380007159;
Psychotria vellosiana;;0.429228194;
Pterocarpus;;0.499349784;
Pterocarpus rohrii;;0.499349784;
Pyrus;;0.631974;
Pyrus communis;;0.631974;
Qualea;;0.646810541;
Qualea cryptantha;;0.646810541;
Quiina;;0.861525;
Quiina glaziovii;;0.861525;
Quillaja;;0.536153726;
Quillaja brasiliensis;;0.536153726;
Randia;;0.47153937;0.55
Randia armata;;0.47153937;
Randia ferox;;0.47153937;0.55
Raulinoreitzia;;0.445812837;
Raulinoreitzia leptophlebia;;0.445812837;
Rauvolfia;;0.475015022;
Rauvolfia sellowii;;0.475015022;
Recordia;;0.445958083;
Recordia reitzii;;0.445958083;
Rhamnidium;;0.569872358;
Rhamnidium elaeocarpum;;0.569872358;
Rhamnus;;0.569872358;
Rhamnus sphaerosperma;;0.569872358;
Rhodostemonodaphne;;0.466206359;
Rhodostemonodaphne macrocalyx;;0.466206359;
Richeria;;0.688065661;
Richeria grandis;;0.688065661;
Rollinia;0.375877578;0.40010631;0.535
Rollinia rugulosa;0.375877578;0.40010631;0.46
Rollinia salicifolia;;0.61;0.61
Roupala;;0.831171717;0.85
Roupala asplenioides;;0.855090909;
Roupala brasiliensis;;0.85;0.85
Roupala montana;;0.783333333;
Roupala montana var. paraensis;;0.855090909;
Rudgea;;0.47153937;
Rudgea jasminoides;;0.47153937;
Rudgea parquioides;;0.47153937;
Rudgea recurva;;0.47153937;
Ruprechtia;;0.615271429;0.71
Ruprechtia laxiflora;;0.615271429;0.71
Salacia;;0.575927514;
Salacia elliptica;;0.575927514;
Sambucus;;0.446333333;
Sambucus australis;;0.446333333;
Sapium;0.334605234;0.347735243;0.44
Sapium glandulosum;0.334605234;0.347735243;0.44
Savia;;0.688065661;
Savia dictyocarpa;;0.688065661;
Schaefferia;;0.575927514;
Schaefferia argentinensis;;0.575927514;
Schefflera;;0.43685255;0.44
Schefflera angustissima;;0.4273207;
Schefflera calva;;0.4273207;0.44
Schefflera morototoni;;0.45591625;
Schinus;0.572201126;0.555084049;
Schinus;0.624354888;0.624354888;
Schinus engleri;;0.613739463;
Schinus lentiscifolia;;0.555084049;
Schinus polygamus;;0.555084049;
Schinus terebinthifolius;0.520047364;0.496428635;
Schizolobium;;0.388733394;
Schizolobium parahyba;;0.388733394;
Scutia;;0.569872358;
Scutia buxifolia;;0.569872358;
Sebastiania;0.618891999;0.434934442;0.6535
Sebastiania brasiliensis;0.609889608;0.434934442;0.67
Sebastiania commersoniana;0.627894389;0.627894389;0.637
Seguieria;;0.59;
Seguieria aculeata;;0.59;
Seguieria langsdorffii;;0.59;
Senna;;0.55516483;
Senna macranthera;;0.55516483;
Senna multijuga;;0.55516483;
Sessea;;0.453452943;
Sessea regnellii;;0.453452943;
Sideroxylon;;0.588530728;
Sideroxylon obtusifolium;;0.588530728;
Siparuna;;0.6562;
Siparuna guianensis;;0.6562;
Siphoneugena;0.67385422;0.629388596;
Siphoneugena reitzii;0.67385422;0.629388596;
Sloanea;;0.703216535;
Sloanea garckeana;;0.703216535;
Sloanea guianensis;;0.717857863;
Sloanea hirsuta;;0.688575208;
Sloanea lasiocoma;;0.703216535;
Solanum;;0.453452943;0.53
Solanum bullatum;;0.453452943;
Solanum caavurana;;0.453452943;
Solanum compressum;;0.453452943;
Solanum gertii;;0.453452943;
Solanum mauritianum;;0.359691985;
Solanum pabstii;;0.453452943;
Solanum pseudoquina;;0.453452943;0.53
Solanum ramulosum;;0.453452943;
Solanum reitzii;;0.453452943;
Solanum rufescens;;0.453452943;
Solanum sanctaecatharinae;;0.453452943;
Solanum variabile;;0.5472139;
Sorocea;;0.467292249;0.615
Sorocea bonplandii;;0.467292249;0.615
Spathodea;;0.3506175;
Spathodea campanulata;;0.3506175;
Spirotheca;;0.389152673;
Spirotheca rivieri;;0.389152673;
Strychnos;;0.668068623;0.54
Strychnos brasiliensis;;0.668068623;0.54
Stylogyne;;0.55778684;
Stylogyne pauciflora;;0.55778684;
Styrax;0.423049541;0.394659525;0.413
Styrax acuminatus;;0.394659525;
Styrax glabratus;;0.394659525;
Styrax leprosus;0.423049541;0.394659525;0.413
Symphyopappus;;0.445812837;
Symphyopappus compressus;;0.445812837;
Symphyopappus itatiayensis;;0.445812837;
Symphyopappus lymansmithii;;0.445812837;
Symplocos;0.422666668;0.369674422;
Symplocos corymboclados;;0.369674422;
Symplocos estrellensis;;0.369674422;
Symplocos glandulosomarginata;;0.369674422;
Symplocos nitidiflora;;0.369674422;
Symplocos pustulosa;;0.369674422;
Symplocos tenuifolia;;0.369674422;
Symplocos tetrandra;0.493521527;0.369674422;
Symplocos trachycarpos;;0.369674422;
Symplocos uniflora;0.351811808;0.369674422;
Syzygium;;0.686393334;
Syzygium cumini;;0.672786667;
Syzygium jambos;;0.7;
Tabernaemontana;;0.524774716;0.55
Tabernaemontana catharinensis;;0.524774716;0.55
Tapirira;;0.598561299;
Tapirira guianensis;;0.598561299;
Terminalia;;0.748;
Terminalia triflora;;0.748;
Ternstroemia;;0.47;
Ternstroemia brasiliensis;;0.47;
Tetrastylidium;;0.724816399;
Tetrastylidium grandifolium;;0.724816399;
Tetrorchidium;;0.386880582;0.46
Tetrorchidium rubrivenium;;0.386880582;0.46
Tibouchina;;0.604318113;0.4
Tibouchina dusenii;;0.604318113;
Tibouchina pilosa;;0.604318113;
Tibouchina pulchra;;0.604318113;
Tibouchina sellowiana;;0.604318113;0.4
Tocoyena;;0.47153937;
Tocoyena sellowiana;;0.47153937;
Trema;;0.337245985;
Trema micrantha;;0.337245985;
Trichilia;;0.616794821;0.66
Trichilia casaretti;;0.616794821;
Trichilia catigua;;0.616794821;
Trichilia claussenii;;0.640037563;0.68
Trichilia elegans;;0.616794821;
Trichilia lepidota;;0.59355208;0.65
Trichilia pallens;;0.616794821;0.65
Urera;;0.414334261;0.17
Urera baccifera;;0.414334261;0.17
Vantanea;;0.91;
Vantanea compacta;;0.91;
Varronia;;0.478964477;
Varronia polycephala;;0.478964477;
Vasconcellea;;0.22625;
Vasconcellea quercifolia;;0.22625;
Vassobia;;0.453452943;
Vassobia breviflora;;0.453452943;
Vernonanthura;0.32882543;0.327275208;0.54
Vernonanthura discolor;0.32882543;0.357387429;0.54
Vernonanthura divaricata;;0.327275208;
Vernonanthura montevidensis;;0.327275208;
Vernonanthura petiolaris;;0.327275208;
Vernonanthura puberula;;0.297162987;
Vernonanthura tweediana;;0.327275208;
Virola;;0.487856421;0.56
Virola bicuhyba;;0.487856421;0.56
Vitex;;0.461226361;
Vitex megapotamica;;0.461226361;
Weinmannia;0.578306679;0.474071528;0.61
Weinmannia discolor;;0.474071528;
Weinmannia humilis;;0.474071528;
Weinmannia paulliniifolia;0.578306679;0.474071528;0.61
Xylopia;;0.563661559;
Xylopia brasiliensis;;0.563661559;
Xylosma;0.578373206;0.654579803;0.65
Xylosma ciliatifolia;0.578373206;0.654579803;
Xylosma pseudosalzmanii;;0.654579803;0.65
Xylosma tweediana;;0.654579803;
Zanthoxylum;0.521243887;0.439505443;0.7345
Zanthoxylum fagara;;0.417002177;
Zanthoxylum kleinii;0.599780473;0.439505443;
Zanthoxylum petiolare;;0.439505443;0.9
Zanthoxylum rhoifolium;0.4427073;0.46200871;0.569
Zollernia;;0.55516483;
Zollernia ilicifolia;;0.55516483;
